file,raw_tag,catalog_key,status,canonical,jpm_prefix
wiki/exams/2012/q93-loca-purple-containment-path-cs-pump-procedure.md,G2.4.22 (RO 3.6 / SRO 4.4),G2.4.22,RESOLVED,G2.4.22 (RO 3.6 / SRO 4.4),
wiki/exams/2012/q94-rcs-loops-required-hot-standby-bases.md,G2.1.32 (RO 3.8 / SRO 4),G2.1.32,RESOLVED,G2.1.32 (RO 3.8 / SRO 4),
wiki/exams/2012/q95-sfp-manipulation-sro-supervision-requirement.md,G2.1.35 (SRO 3.9),G2.1.35,RESOLVED,G2.1.35 (SRO 3.9),
wiki/exams/2012/q96-temporary-configuration-change-approval-authority.md,G2.2.11 (RO 2.3 / SRO 3.3),G2.2.11,DELETED_IN_REV3,G2.2.11 (RO 2.3 / SRO 3.3),
wiki/exams/2012/q97-2a-edg-missed-surveillance-operability.md,G2.2.37 (SRO 4.6),G2.2.37,RESOLVED,G2.2.37 (SRO 4.6),
wiki/exams/2012/q98-refueling-decay-time-earliest-fuel-movement.md,G2.3.13 (RO 3.4 / SRO 3.8),G2.3.13,DELETED_IN_REV3,G2.3.13 (RO 3.4 / SRO 3.8),
wiki/exams/2012/q99-offsite-fire-assistance-authorization-radiological-emergency.md,G2.4.26 (RO 3.1 / SRO 3.6),G2.4.26,RESOLVED,G2.4.26 (RO 3.1 / SRO 3.6),
wiki/exams/2014/jpm-ip-i-unload-and-stop-edg.md,064 A2.03 (3.1/3.1),064 A2.03,DELETED_IN_REV3,064 A2.03 (3.1/3.1),In-Plant | RO/SRO | 
wiki/exams/2014/jpm-ip-j-transfer-pzr-backup-heaters-emergency-power.md,010 A4.02 (RO 3.6 / SRO 3.6),010 A4.02,RESOLVED,010 A4.02 (RO 3.6 / SRO 3.6),In-Plant | RO/SRO | 
wiki/exams/2014/jpm-ip-k-high-radiation-alarm-during-gas-release.md,G2.3.11 (RO 3.8 / SRO 4.3),G2.3.11,RESOLVED,G2.3.11 (RO 3.8 / SRO 4.3),In-Plant | RO/SRO | 
wiki/exams/2014/jpm-ro-a1-1-measure-leakage-to-containment-sump.md,G2.1.25 (RO 3.9 / SRO 4.2),G2.1.25,RESOLVED,G2.1.25 (RO 3.9 / SRO 4.2),Admin | RO/SRO | 
wiki/exams/2014/jpm-ro-a1-2-perform-qptr.md,G2.1.43 (RO 4.1 / SRO 4.3),G2.1.43,RESOLVED,G2.1.43 (RO 4.1 / SRO 4.3),Admin | RO/SRO | 
wiki/exams/2014/jpm-ro-a2-prepare-manual-tagout.md,G2.2.13 (RO 4.1 / SRO 4.3),G2.2.13,RESOLVED,G2.2.13 (RO 4.1 / SRO 4.3),Admin | RO | 
wiki/exams/2014/jpm-ro-a4-secondary-communicator-alert.md,G2.4.39 (RO 3.9),G2.4.39,RESOLVED,G2.4.39 (RO 3.9),Admin | RO | 
wiki/exams/2014/jpm-sim-a-boration-flow-capability-surveillance.md,004 A4.18 (RO 4.2 / SRO 4.2),004 A4.18,RESOLVED,004 A4.18 (RO 4.2 / SRO 4.2),Simulator | RO/SRO | 
